patient_index,mean_pairwise_cosine,pair_cosines
0,0.43131922,"{""0-1"": 0.9978746175765991, ""0-2"": 0.12922759354114532, ""1-2"": 0.16685545444488525}"
1,-0.00712882,"{""0-1"": -0.004689319990575314, ""0-2"": -0.008320803754031658, ""1-2"": -0.008376335725188255}"
2,0.17336403,"{""0-1"": -0.14531837403774261, ""0-2"": 0.10868073254823685, ""1-2"": 0.5567297339439392}"
3,0.06031336,"{""0-1"": 0.060313355177640915}"
4,0.90206969,"{""0-1"": 0.9020696878433228}"
5,1.00000012,"{""0-1"": 1.0000001192092896}"
6,-0.04085593,"{""0-1"": -0.040855925530195236}"
7,-0.06582544,"{""0-1"": -0.0658254399895668}"
8,0.02175793,"{""0-1"": 0.13692328333854675, ""0-2"": -0.03006008081138134, ""1-2"": -0.041589416563510895}"
9,0.00260436,"{""0-1"": -0.0667603388428688, ""0-2"": 0.02999790757894516, ""1-2"": 0.04457550123333931}"
10,0.00000000,{}
11,1.00000000,"{""0-1"": 1.0}"
12,0.03426970,"{""0-1"": -0.050035372376441956, ""0-2"": -0.016509367153048515, ""1-2"": 0.16935382783412933}"
13,0.16553224,"{""0-1"": 0.3735513985157013, ""0-2"": 0.05809324234724045, ""1-2"": 0.0649520680308342}"
14,-0.00127618,"{""0-1"": 0.029968436807394028, ""0-2"": 0.02547241933643818, ""1-2"": -0.059269391000270844}"
15,0.31411539,"{""0-1"": 0.4830472767353058, ""0-2"": 0.02558761090040207, ""1-2"": 0.43371129035949707}"
16,0.55408275,"{""0-1"": 0.5540827512741089}"
17,0.04535238,"{""0-1"": 0.07812755554914474, ""0-2"": 0.11961641907691956, ""1-2"": -0.06168684735894203}"
18,0.00000000,{}
19,0.19684893,"{""0-1"": 0.2272433340549469, ""0-2"": 0.049370843917131424, ""1-2"": 0.3139325976371765}"
20,0.39013191,"{""0-1"": 0.8426154851913452, ""0-2"": 0.11535938829183578, ""1-2"": 0.21242086589336395}"
21,0.57708759,"{""0-1"": 0.6310034990310669, ""0-2"": 0.30053064227104187, ""1-2"": 0.7997286319732666}"
22,0.01254617,"{""0-1"": 0.034338515251874924, ""0-2"": -0.0381074920296669, ""1-2"": 0.041407499462366104}"
23,0.00000000,{}
24,0.35424796,"{""0-1"": 0.35424795746803284}"
25,0.17069620,"{""0-1"": 0.28198686242103577, ""0-2"": 0.10767246782779694, ""1-2"": 0.1224292740225792}"
26,0.14694606,"{""0-1"": -0.08140485733747482, ""0-2"": 0.402243435382843, ""1-2"": 0.11999958753585815}"
27,0.06600249,"{""0-1"": 0.21610218286514282, ""0-2"": -0.0005499909166246653, ""1-2"": -0.01754472218453884}"
28,0.05178660,"{""0-1"": 0.012394247576594353, ""0-2"": -0.09189451485872269, ""1-2"": 0.23486006259918213}"
29,0.56270301,"{""0-1"": 0.562703013420105}"
30,0.37211887,"{""0-1"": 0.9977074265480042, ""0-2"": 0.06236466392874718, ""1-2"": 0.05628452077507973}"
31,0.26873936,"{""0-1"": 0.9748349189758301, ""0-2"": -0.09623070806264877, ""1-2"": -0.07238613069057465}"
32,-0.02412251,"{""0-1"": -0.17260366678237915, ""0-2"": 0.0012172983260825276, ""1-2"": 0.09901884198188782}"
33,0.25785506,"{""0-1"": 0.25785505771636963}"
34,-0.04729952,"{""0-1"": -0.10065130144357681, ""0-2"": -0.0397150032222271, ""1-2"": -0.0015322555555030704}"
35,0.37970769,"{""0-1"": 0.9995258450508118, ""0-2"": 0.06964891403913498, ""1-2"": 0.06994830071926117}"
36,0.02335576,"{""0-1"": 0.008039667271077633, ""0-2"": 0.15513673424720764, ""1-2"": -0.09310910850763321}"
37,0.07582027,"{""0-1"": 0.07582026720046997}"
38,0.10430805,"{""0-1"": 0.03279424086213112, ""0-2"": 0.259382039308548, ""1-2"": 0.02074786089360714}"
39,0.09329349,"{""0-1"": 0.09682592004537582, ""0-2"": 0.045950766652822495, ""1-2"": 0.13710379600524902}"
40,0.28262662,"{""0-1"": 0.8129228353500366, ""0-2"": 0.02617383375763893, ""1-2"": 0.008783184923231602}"
41,0.06300227,"{""0-1"": 0.14450860023498535, ""0-2"": 0.02335941046476364, ""1-2"": 0.021138809621334076}"
42,0.10887442,"{""0-1"": 0.021049367263913155, ""0-2"": 0.2775222063064575, ""1-2"": 0.028051696717739105}"
43,0.04855811,"{""0-1"": 0.0575915165245533, ""0-2"": 0.043164853006601334, ""1-2"": 0.04491796717047691}"
44,0.02789197,"{""0-1"": 0.027891967445611954}"
45,-0.04394721,"{""0-1"": -0.10871683061122894, ""0-2"": -0.0010251558851450682, ""1-2"": -0.02209964394569397}"
46,0.00325688,"{""0-1"": 0.06473559886217117, ""0-2"": 0.017050612717866898, ""1-2"": -0.07201558351516724}"
47,0.17047302,"{""0-1"": 0.17047302424907684}"
48,0.10349418,"{""0-1"": 0.2544671893119812, ""0-2"": 0.009534776210784912, ""1-2"": 0.04648057743906975}"
49,0.02483987,"{""0-1"": 0.024839868769049644}"
